"Provider","Service Offering","Service Model","Impact Level","Status","Authorizations","Reuse"
"OneSpan Inc.","OneSpan Sign, E-Signature and Digital Signature Service","SaaS","Moderate","FedRAMP Authorized","4","3"
"OneStream Software","OneStream Cloud - High","SaaS","High","FedRAMP In Process","0","0"
"OneStream Software","OneStream Cloud","SaaS","Moderate","FedRAMP Authorized","8","7"
"OnSolve LLC","OnSolve Platform for Critical Event Management","SaaS","Moderate","FedRAMP Authorized","1","0"
"Onspring Technologies, LLC","Onspring GovCloud","SaaS","Moderate","FedRAMP In Process","0","0"
"Ontario Systems, LLC d/b/a Finvi","Ontario Cloud Federal (OCF)","SaaS","Moderate","FedRAMP Authorized","1","0"
"OpenText Inc","OpenText Cloud for Government","PaaSSaaS","Moderate","FedRAMP In Process","0","0"
"OpenWater Software","OpenWater Awards","SaaS","LI-SaaS","FedRAMP Authorized","2","1"
"Oracle","Taleo Cloud - U.S. Government Cloud","SaaS","Moderate","FedRAMP Authorized","2","1"
"Oracle","Oracle Cloud Infrastructure-Government Cloud","IaaSPaaS","High","FedRAMP Authorized","12","19"
"Oracle","Aconex for Defense","SaaS","Moderate","FedRAMP Authorized","1","0"
"Oracle","Oracle Service Cloud","IaaSPaaSSaaS","Moderate","FedRAMP Authorized","8","8"
"Oracle","Government Cloud - Common Controls","IaaS","High","FedRAMP Authorized","6","30"
"Oracle","Federal Managed Cloud Services","IaaS","Moderate","FedRAMP Authorized","12","11"
"Oracle","Oracle Service Cloud (DOD)","SaaS","Moderate","FedRAMP Authorized","1","0"
"Oracle","Fusion Cloud","SaaS","Moderate","FedRAMP Authorized","6","5"
"Oracle","Oracle Enterprise Performance Management (EPM)","SaaS","Low","FedRAMP Authorized","8","7"
"Orca Security","Orca Cloud Security Platform","SaaS","Moderate","FedRAMP In Process","0","0"
"ORock Technologies","ORockCloud","IaaSPaaS","Moderate","FedRAMP Ready","0","0"
"OwnBackup","OwnBackup Government Cloud ","SaaS","Moderate","FedRAMP Authorized","2","1"
"PagerDuty","PagerDuty Operations Cloud","SaaS","Low","FedRAMP In Process","0","0"
"Palantir Technologies","Palantir Federal Cloud Service – Supporting Services (PFCS-SS)","SaaS","High","FedRAMP In Process","0","0"
"Palantir Technologies Inc.","Palantir Federal Cloud Service","SaaS","Moderate","FedRAMP Authorized","11","10"
"Palantir Technologies Inc.","Palantir Federal Cloud Service - High","PaaSSaaS","High","FedRAMP In Process","0","0"
"Palo Alto Networks, Inc.","Palo Alto Networks Government Cloud Services","SaaS","Moderate","FedRAMP Authorized","24","61"
"Palo Alto Networks, Inc.","GCS-HIGH","SaaS","High","FedRAMP Ready","0","0"
"Paperless Innovations, Inc.","Actus","SaaS","Moderate","FedRAMP In Process","0","0"
"PC Matic","PC Matic Federal Support System","SaaS","Moderate","FedRAMP Ready","0","0"
"Pegasystems Inc","Pega Cloud for Government","PaaSSaaS","Moderate","FedRAMP Authorized","5","4"
"Peraton Corporation","Next Generation Cloud Platform","PaaSSaaS","Moderate","FedRAMP Authorized","1","0"
"Perceptyx","Perceptyx Insights Platform","SaaS","Moderate","FedRAMP Authorized","1","0"
"Pexip Inc.","Pexip Government Cloud (PGC)","SaaS","Moderate","FedRAMP Authorized","1","0"
"Ping Identity Corporation","PingOne for Government","SaaS","Moderate","FedRAMP Authorized","1","0"
"Pitney Bowes","SendPro 360","SaaS","Moderate","FedRAMP Authorized","4","3"
"Point Blue Conservation Science","Point Blue Science Cloud","SaaS","LI-SaaS","FedRAMP Authorized","1","0"
"PowerTrain Inc.","PowerTrain Federal Learning Enclave - SaaS","SaaS","Moderate","FedRAMP Authorized","20","19"
"Privoro LLC","Privoro Fulcrum Cloud","SaaS","Moderate","FedRAMP In Process","0","0"
"Project Hosts Inc.","GSS One - Azure","PaaS","Moderate","FedRAMP Authorized","9","26"
"Project Hosts Inc.","GSS One - AWS","PaaS","High","FedRAMP In Process","0","0"
"ProjectTeam, Inc.","ProjectTeam for Government","SaaS","Moderate","FedRAMP In Process","0","0"
"Proofpoint, Inc.","Proofpoint Email Archive","SaaS","Moderate","FedRAMP Authorized","3","10"
"Proofpoint, Inc.","Proofpoint Security Awareness Training","SaaS","Moderate","FedRAMP In Process","1","1"
"Proofpoint, Inc.","Proofpoint Email and Information Protection Service","SaaS","Moderate","FedRAMP Authorized","4","3"
"Proofpoint, Inc.","Proofpoint Targeted Attack Protection","SaaS","Moderate","FedRAMP Authorized","4","3"
"PTC","PTC Cloud Services","SaaS","Moderate","FedRAMP Authorized","4","3"
"Public Health Foundation","TRAIN Learning Network","SaaS","Low","FedRAMP Authorized","1","0"
"Qgenda, LLC","QGenda","SaaS","LI-SaaS","FedRAMP Authorized","1","0"
"Qlik Technologies Inc.","Qlik Cloud Government","SaaS","Moderate","FedRAMP Authorized","1","0"
"Quadient inc.","S.M.A.R.T. - Federal Editions","SaaS","Moderate","FedRAMP In Process","0","0"
"Qualtrics","Qualtrics XM Platform","SaaS","Moderate","FedRAMP Authorized","23","23"
"Qualys","Qualys Cloud Platform","SaaS","Moderate","FedRAMP Authorized","10","202"
"Qualys, Inc.","Qualys Government Platform","SaaS","High","FedRAMP Ready","0","0"
"QuestionMark","Questionmark OnDemand for Government","SaaS","Moderate","FedRAMP Authorized","8","7"
"QuestionPro Gov","QuestionPro Gov (QPG)","SaaS","Moderate","FedRAMP In Process","0","0"
"Quzara, LLC.","Quzara Cybertorch (SOC-as-a-Service)","SaaS","High","FedRAMP Ready","0","0"
"R&K Solutions, Inc","GoRPM","SaaS","Moderate","FedRAMP Authorized","1","0"
"Rackspace Government Solutions","Rackspace Government Cloud","PaaS","Moderate","FedRAMP Authorized","8","22"
"Rapid7","InsightCloudSec for Government","SaaS","Moderate","FedRAMP Ready","0","0"
"Rave Mobile Safety","Rave Safety Platform","SaaS","Moderate","FedRAMP Authorized","2","1"
"REAN Cloud Inc.","American Heart Association Precision Medicine Platform (AHA-PMP)","SaaS","Low","FedRAMP Authorized","1","0"
"RecAccess","RecAccess","SaaS","Moderate","FedRAMP In Process","0","0"
"Rectitude 369","Rectitude 369 Government Cloud (Formerly GDT)","IaaS","Moderate","FedRAMP Authorized","3","3"
"Red Hat","Red Hat OpenShift Service on AWS (ROSA)","PaaS","High","FedRAMP Authorized","1","0"
"Relativity ODA LLC","RelativityOne Government","SaaS","Moderate","FedRAMP Authorized","3","2"
"Relocation Management Worldwide (RMW)","Virtual Employee Network (VEN)","SaaS","Moderate","FedRAMP Authorized","1","0"
"Rescale","Rescale ScaleX Government","PaaSSaaS","Moderate","FedRAMP Authorized","2","1"
"Research Dataware LLC","IRBNet on GovCloud","SaaS","Moderate","FedRAMP Authorized","1","0"
"Rosalind, Inc.","ROSALIND","SaaS","Moderate","FedRAMP Authorized","1","0"
"RSA Security LLC","RSA® ID Plus for Government","SaaS","Moderate","FedRAMP Authorized","1","0"
"Rubrik","Rubrik Security Cloud - Government (RSC-G)","SaaS","Moderate","FedRAMP In Process","0","0"
"SailPoint Technologies, Inc.","SailPoint Identity Security Cloud","SaaS","Moderate","FedRAMP In Process","0","0"
"SailPoint Technologies, Inc.","Identity Security","PaaSSaaS","Moderate","FedRAMP Authorized","1","0"
"Salesforce","Salesforce Government Cloud Plus","PaaSSaaS","High","FedRAMP Authorized","33","49"
"SAP National Security Services Inc. (SAP NS2)","SAP NS2 Secure Node with SuccessFactors Suite - DoD","SaaS","Moderate","FedRAMP Authorized","6","5"
"SAP National Security Services Inc. (SAP NS2)","SAP NS2 Cloud Intelligent Enterprise","PaaSSaaS","Moderate","FedRAMP Authorized","29","28"
"SAS Institute, Inc.","SAS AI and Analytics for Government on FedRAMP","SaaS","Moderate","FedRAMP In Process","0","0"
"Saviynt, Inc.","Enterprise Identity Cloud (EIC)","SaaS","Moderate","FedRAMP Authorized","1","0"
"Scale AI, Inc","Scale AI Data Platform","SaaS","High","FedRAMP In Process","0","0"
"Secunetics, Inc.","Gobo Framework (Gobo)","SaaS","Moderate","FedRAMP Authorized","1","0"
"SecurityScorecard, LLC","SecurityScorecard Security Ratings","SaaS","Moderate","FedRAMP Ready","0","0"
"Sentinel Labs, Inc.","SentinelOne Singularity Platform","SaaS","Moderate","FedRAMP Authorized","7","11"
"SentinelOne","SentinelOne Singularity Platform High","SaaS","High","FedRAMP In Process","0","0"
"ServiceNow","Government Community Cloud","PaaSSaaS","High","FedRAMP Authorized","76","176"
"Seven Bridges Genomics, Inc","Seven Bridges Platform","PaaS","Moderate","FedRAMP Authorized","1","0"
"Siemens Government Technologies","Siemens Defense Cloud","SaaS","High","FedRAMP Ready","0","0"
"Siemens Government Technologies ","Mendix Cloud for Government","PaaS","Moderate","FedRAMP In Process","0","0"
"Signature Performance, Inc.","ClaimsXM","SaaS","Moderate","FedRAMP In Process","0","0"
"Sirsi Corporation (SirsiDynix)","EOS.Web","SaaS","Low","FedRAMP Authorized","4","3"
"Skillsoft","Percipio","SaaS","Moderate","FedRAMP Authorized","11","10"
"Skillsoft","Private Cloud","SaaS","Moderate","FedRAMP Authorized","5","16"
"Skyhigh Security","Security Service Edge (Formerly McAfee MVISION)","SaaS","High","FedRAMP Authorized","11","11"
"Slack Technologies","GovSlack","SaaS","High","FedRAMP In Process","0","0"
"Slack Technologies","Slack","SaaS","Moderate","FedRAMP Authorized","11","182"
"Smartsheet","Smartsheet Gov","SaaS","Moderate","FedRAMP Authorized","24","25"
"SMX (Formerly Smartronix)","Cloud Assured Managed Services (CAMS)","PaaS","Moderate","FedRAMP Authorized","2","1"
"Snowflake Inc.","The Data Cloud on AWS GovCloud (High)","SaaS","High","FedRAMP Authorized","1","0"
"Snowflake Inc.","The Data Cloud on AWS US East/West","SaaS","Moderate","FedRAMP Authorized","3","8"
"Snowflake Inc.","The Data Cloud on Azure Government","SaaS","Moderate","FedRAMP Authorized","1","0"
"Snyk","Snyk for Government","SaaS","Moderate","FedRAMP In Process","0","0"
"Socure, Inc.","Socure ID+ for Government (SocureGov)","SaaS","Moderate","FedRAMP In Process","0","0"
"Software AG Government Solutions","Software AG Government Cloud","PaaS","Moderate","FedRAMP Authorized","3","2"
"Somnoware Healthcare Systems","Somnoware","SaaS","Moderate","FedRAMP Authorized","1","0"
"Spider Strategies","Spider Impact for Government","SaaS","Moderate","FedRAMP Authorized","1","0"
"Splunk","Splunk Cloud Platform for FedRAMP Moderate","SaaS","Moderate","FedRAMP Authorized","14","56"
"Splunk","Splunk Cloud Platform for FedRAMP High","SaaS","High","FedRAMP In Process","0","0"
"Sprinklr, Inc.","Sprinklr CXM for Government (CXM)","SaaS","LI-SaaS","FedRAMP Authorized","1","0"
"SRR International,Inc.","CloudLCMS","SaaS","LI-SaaS","FedRAMP Authorized","1","0"
"Sumo Logic","Sumo Logic","SaaS","Moderate","FedRAMP Authorized","4","48"
"Synack","On-Demand Security Testing Platform","SaaS","Moderate","FedRAMP In Process","0","0"
"Synergetics Incorporated","Open Federal Logistics Information System (OpenFLIS)","SaaS","Moderate","FedRAMP Authorized","1","0"
"T-Metrics, Inc.","T-Metrics Cloud Contact Center (TCCC)","SaaS","Moderate","FedRAMP Authorized","1","0"
"TalaTek, LLC","TalaTek intelligent Governance and Risk Integrated Solution (TiGRIS)","SaaS","Moderate","FedRAMP Authorized","2","1"
"Talkdesk","Talkdesk CX Cloud™","SaaS","Moderate","FedRAMP In Process","0","0"
"Tango","Tango","SaaS","LI-SaaS","FedRAMP Authorized","13","12"
"Tanium","Tanium Cloud for US Government (TC-USG)","SaaS","Moderate","FedRAMP Authorized","1","0"
"TechTrend, Inc.","Federal GovCloud (FGC) DevSecOps","SaaS","Moderate","FedRAMP Authorized","1","0"
"TeleTech (TTEC) Services Corporation","Humanify Enterprise - Government (Humanify Enterprise - G)","SaaS","Moderate","FedRAMP Authorized","8","7"
"Tenable Public Sector (TPS)","Tenable.io","SaaS","Moderate","FedRAMP Authorized","9","34"
"TERIDA","Terida RegTech Framework - CLASsoft","PaaSSaaS","Moderate","FedRAMP In Process","0","0"
"The Coleridge Initiative, Inc.","Administrative Data Research Facility (ADRF)","SaaS","Moderate","FedRAMP Authorized","2","1"
"Totara Learning Inc.","Totara Talent Development Government Cloud Platform","SaaS","Moderate","FedRAMP Authorized","1","0"
"TRAPWIRE","TRAPWIRE Threat Detection and Analysis System","SaaS","Moderate","FedRAMP Authorized","1","0"
"TRAPWIRE","TRAPWIRE Threat Detection and Analysis System - High","SaaS","High","FedRAMP In Process","0","0"
"Trellix","Trellix Email Security GovCloud","SaaS","Moderate","FedRAMP Authorized","8","7"
"Trellix","Trellix XDR GovCloud","SaaS","Moderate","FedRAMP Authorized","2","1"
"Trellix","Trellix XDR GovCloud High","SaaS","High","FedRAMP In Process","0","0"
"Trello","Trello Enterprise Cloud","SaaS","LI-SaaS","FedRAMP Authorized","2","1"
"Trend Micro Inc.","Trend Micro Vision One for Government","SaaS","Moderate","FedRAMP In Process","0","0"
"Trend Micro Inc.","Trend Micro Cloud One for Government","SaaS","Moderate","FedRAMP In Process","0","0"
"Trustwave Government Solutions","Trustwave Fusion","SaaS","Moderate","FedRAMP In Process","0","0"
"Tyler Federal, LLC","Tyler Federal Product Suite","PaaSSaaS","Moderate","FedRAMP Authorized","33","32"
"Tyler Technologies Data & Insights","Tyler Data Platform, powered by Socrata","SaaS","Moderate","FedRAMP Authorized","7","6"
"UberEther","IAM Advantage","SaaS","High","FedRAMP Authorized","1","0"
"UiPath","Automation Cloud Public Sector","SaaS","Moderate","FedRAMP In Process","0","0"
"Unison","Contracting SaaS","SaaS","Moderate","FedRAMP Authorized","14","13"
"Unison","FedConnect","SaaS","Moderate","FedRAMP Authorized","3","2"
"United Solutions","US AI","SaaS","High","FedRAMP Authorized","2","1"
"United States Department of Agriculture","USDA Digital Infrastructure Services Center","IaaSPaaS","Moderate","FedRAMP Authorized","6","6"
"United States Department of the Treasury","Workplace.gov Community Cloud (WC2)","PaaSSaaS","Moderate","FedRAMP Authorized","3","2"
"United States Department of the Treasury","Workplace.gov Community Cloud High (WC2-H)","IaaSPaaS","High","FedRAMP Authorized","3","2"
"Unqork, Inc.","Unqork for Government","SaaS","Moderate","FedRAMP Authorized","1","0"
"Uptake Technologies Inc.","Uptake Federal","SaaS","High","FedRAMP In Process","0","0"
"USU Solutions Inc.","USU IT Asset Management","SaaS","High","FedRAMP In Process","0","0"
"Valimail","Valimail Enforce Platform","SaaS","LI-SaaS","FedRAMP Authorized","3","2"
"Vaultara, LLC","Vaultara Flare Services","SaaS","Moderate","FedRAMP Authorized","1","0"
"VBrick Systems, Inc.","VBrick Rev","SaaS","LI-SaaS","FedRAMP Authorized","6","5"
"Veracode","Veracode Online Security Platform for Government","SaaS","Moderate","FedRAMP Authorized","1","0"
"Veritone, Inc.","aiWARE Government","SaaS","Moderate","FedRAMP Authorized","2","1"
"Virtru","Virtru Data Protection Platform","SaaS","Moderate","FedRAMP Authorized","1","0"
"Virtustream","Federal Cloud (VFC)","IaaS","Moderate","FedRAMP Authorized","4","6"
"VMware, Inc.","Workspace ONE","SaaS","Moderate","FedRAMP Authorized","9","8"
"VMware, Inc.","VMware Government Services (VGS)","IaaS","High","FedRAMP Authorized","3","11"
"Vyopta Incorporated","Vyopta CPM Suite","SaaS","LI-SaaS","FedRAMP Authorized","3","2"
"WalkMe, Inc","WalkMe DAP","SaaS","Moderate","FedRAMP Ready","0","0"
"WellHive Holdings, LLC","WellHive","SaaS","Moderate","FedRAMP Authorized","1","0"
"Wellspring Worldwide, Inc.","Sophia Knowledge Management System","SaaS","Moderate","FedRAMP Authorized","3","2"
"WidePoint Integrated Solutions Corp.","Intelligent Technology Management System (ITMS)","SaaS","Moderate","FedRAMP In Process","0","0"
"WingSwept","Case Management & Tracking System (CMTS)","SaaS","Moderate","FedRAMP Authorized","3","2"
"Wiz, Inc.","Wiz Moderate for U.S. Government","SaaS","Moderate","FedRAMP In Process","0","0"
"Wolters Kluwer","TeamMate+ FedRAMP","SaaS","Moderate","FedRAMP Authorized","4","3"
"Workday Inc.","Workday Government Cloud (WGC)","SaaS","Moderate","FedRAMP Authorized","1","0"
"Workiva","Workiva Platform","SaaS","Moderate","FedRAMP Authorized","11","10"
"Xerox Corporation","Xerox Managed Print Services for US Government","SaaS","Moderate","FedRAMP Authorized","3","2"
"XTec, Incorporated","AuthentX Cloud","SaaS","High","FedRAMP Authorized","2","1"
"Yello Dba Recsolu Inc","Yello Government Recruiting Solution","SaaS","Moderate","FedRAMP Authorized","2","1"
"Zendesk","Zendesk Customer Support and Help Desk Platform","SaaS","LI-SaaS","FedRAMP Authorized","3","73"
"ZibaSec, Inc.","PhishTACO","SaaS","Moderate","FedRAMP Authorized","1","0"
"Zimperium","Zimperium Mobile Endpoint Cyber Security","SaaS","Moderate","FedRAMP Authorized","2","1"
"Zoom Video Communications, LLC","Zoom for Government","SaaS","Moderate","FedRAMP Authorized","47","46"
"Zscaler, Inc.","Zscaler Internet Access - Government (Secure Web Gateway - vTIC)","SaaS","Moderate","FedRAMP Authorized","13","13"
"Zscaler, Inc.","Zscaler Internet Access - Government (Secure Web Gateway - vTIC) - High","SaaS","High","FedRAMP Authorized","6","5"
"Zscaler, Inc.","Zscaler Private Access - Government (Zero Trust Networking - VPN Replacement)","SaaS","High","FedRAMP Authorized","14","45"
"Zscaler, Inc.","Zscaler Private Access - Government (Zero Trust Exchange - VPN Replacement)","SaaS","Moderate","FedRAMP Authorized","6","5"
